name,code,descripcion,bin,interval_mun,cells_mun
h1213b-Ansiedad,secuelas_post_covid_2-C,,1,-0.1%:14.3%,"{01001,01002,01005,01009,02001,02002,02004,02006,03001,03002,03003,03008,04001,04002,04003,04004,04009,05002,05017,05018,05020,05025,05030,05035,06001,06002,06005,06007,06009,06010,07005,07015,07019,07044,07046,07051,07061,07076,07078,07099,07101,07107,08011,08013,08019,08037,08050,09002,09003,09004,09005,09006,09007,09008,09009,09010,09011,09012,09013,09014,09015,09016,09017,10005,10007,10012,10021,10022,10033,10038,11002,11004,11005,11007,11012,11013,11015,11017,11019,11020,11022,11023,11025,11026,11028,11030,11031,11032,11033,11037,11039,11041,11043,11044,12001,12011,12029,12030,12038,12051,12055,12062,12075,13002,13003,13017,13028,13029,13045,13048,13051,13056,13067,13073,13076,14039,14044,14046,14053,14079,14097,14098,14101,14120,14122,15007,15009,15013,15020,15021,15025,15026,15031,15033,15037,15040,15042,15051,15054,15057,15058,15060,15067,15070,15081,15084,15088,15095,15100,15104,15105,15106,15109,15118,15119,15120,15121,15122,16023,16029,16033,16052,16053,16061,16068,16082,16088,16102,16112,17004,17006,17007,17008,17011,17015,17020,17024,17029,17032,18002,18006,18009,18011,18014,18017,18020,19006,19012,19021,19026,19031,19039,19046,19047,19048,20025,20030,20075,20107,20184,20318,20385,20408,20498,20515,20516,20545,21019,21055,21071,21114,21115,21126,21144,21156,21197,21207,22001,22002,22006,22008,22011,22012,22014,22016,22017,23001,23004,23005,23007,23008,24003,24013,24020,24021,24028,24033,24035,24050,24053,25001,25004,25005,25006,25010,25011,25012,25015,25017,26002,26018,26030,26035,26043,26055,27001,27002,27004,27005,27006,27008,27009,27013,28003,28009,28022,28029,28032,28038,28041,29001,29005,29008,29013,29015,29019,29025,29027,29033,29038,29039,29043,29048,30025,30032,30044,30069,30102,30105,30117,30118,30141,30155,30192,30193,31029,31040,31041,31050,31068,31092,31096,31102,32008,32010,32017,32020,32029,32031,32038,32040,32048,32053}"
h1213b-Depresión,secuelas_post_covid_2-D,,1,-0.1%:6.2%,"{01001,01002,01005,01009,02001,02002,02004,02006,03001,03002,03003,03008,04001,04002,04003,04004,04009,05002,05017,05018,05020,05025,05030,05035,06001,06002,06005,06007,06009,06010,07005,07015,07019,07044,07046,07051,07061,07076,07078,07099,07101,07107,08011,08013,08019,08037,08050,09002,09003,09004,09005,09006,09007,09008,09009,09010,09011,09012,09013,09014,09015,09016,09017,10005,10007,10012,10021,10022,10033,10038,11002,11004,11005,11007,11012,11013,11015,11017,11019,11020,11022,11023,11025,11026,11028,11030,11031,11032,11033,11037,11039,11041,11043,11044,12001,12011,12029,12030,12038,12051,12055,12062,12075,13002,13003,13017,13028,13029,13045,13048,13051,13056,13067,13073,13076,14039,14044,14046,14053,14079,14097,14098,14101,14120,14122,15007,15009,15013,15020,15021,15025,15026,15031,15033,15037,15040,15042,15051,15054,15057,15058,15060,15067,15070,15081,15084,15088,15095,15100,15104,15105,15106,15109,15118,15119,15120,15121,15122,16023,16029,16033,16052,16053,16061,16068,16082,16088,16102,16112,17004,17006,17007,17008,17011,17015,17020,17024,17029,17032,18002,18006,18009,18011,18014,18017,18020,19006,19012,19021,19026,19031,19039,19046,19047,19048,20025,20030,20075,20107,20184,20318,20385,20408,20498,20515,20516,20545,21019,21055,21071,21114,21115,21126,21144,21156,21197,21207,22001,22002,22006,22008,22011,22012,22014,22016,22017,23001,23004,23005,23007,23008,24003,24013,24020,24021,24028,24033,24035,24050,24053,25001,25004,25005,25006,25010,25011,25012,25015,25017,26002,26018,26030,26035,26043,26055,27001,27002,27004,27005,27006,27008,27009,27013,28003,28009,28022,28029,28032,28038,28041,29001,29005,29008,29013,29015,29019,29025,29027,29033,29038,29039,29043,29048,30025,30032,30044,30069,30102,30105,30117,30118,30141,30155,30192,30193,31029,31040,31041,31050,31068,31092,31096,31102,32008,32010,32017,32020,32029,32031,32038,32040,32048,32053}"
h1213b-Fiebre,secuelas_post_covid_2-E,,1,-0.1%:4.8%,"{01001,01002,01005,01009,02001,02002,02004,02006,03001,03002,03003,03008,04001,04002,04003,04004,04009,05002,05017,05018,05020,05025,05030,05035,06001,06002,06005,06007,06009,06010,07005,07015,07019,07044,07046,07051,07061,07076,07078,07099,07101,07107,08011,08013,08019,08037,08050,09002,09003,09004,09005,09006,09007,09008,09009,09010,09011,09012,09013,09014,09015,09016,09017,10005,10007,10012,10021,10022,10033,10038,11002,11004,11005,11007,11012,11013,11015,11017,11019,11020,11022,11023,11025,11026,11028,11030,11031,11032,11033,11037,11039,11041,11043,11044,12001,12011,12029,12030,12038,12051,12055,12062,12075,13002,13003,13017,13028,13029,13045,13048,13051,13056,13067,13073,13076,14039,14044,14046,14053,14079,14097,14098,14101,14120,14122,15007,15009,15013,15020,15021,15025,15026,15031,15033,15037,15040,15042,15051,15054,15057,15058,15060,15067,15070,15081,15084,15088,15095,15100,15104,15105,15106,15109,15118,15119,15120,15121,15122,16023,16029,16033,16052,16053,16061,16068,16082,16088,16102,16112,17004,17006,17007,17008,17011,17015,17020,17024,17029,17032,18002,18006,18009,18011,18014,18017,18020,19006,19012,19021,19026,19031,19039,19046,19047,19048,20025,20030,20075,20107,20184,20318,20385,20408,20498,20515,20516,20545,21019,21055,21071,21114,21115,21126,21144,21156,21197,21207,22001,22002,22006,22008,22011,22012,22014,22016,22017,23001,23004,23005,23007,23008,24003,24013,24020,24021,24028,24033,24035,24050,24053,25001,25004,25005,25006,25010,25011,25012,25015,25017,26002,26018,26030,26035,26043,26055,27001,27002,27004,27005,27006,27008,27009,27013,28003,28009,28022,28029,28032,28038,28041,29001,29005,29008,29013,29015,29019,29025,29027,29033,29038,29039,29043,29048,30025,30032,30044,30069,30102,30105,30117,30118,30141,30155,30192,30193,31029,31040,31041,31050,31068,31092,31096,31102,32008,32010,32017,32020,32029,32031,32038,32040,32048,32053}"
h1213b-Dificultad para dormir,secuelas_post_covid_2-F,,1,-0.1%:5.1%,"{01001,01002,01005,01009,02001,02002,02004,02006,03001,03002,03003,03008,04001,04002,04003,04004,04009,05002,05017,05018,05020,05025,05030,05035,06001,06002,06005,06007,06009,06010,07005,07015,07019,07044,07046,07051,07061,07076,07078,07099,07101,07107,08011,08013,08019,08037,08050,09002,09003,09004,09005,09006,09007,09008,09009,09010,09011,09012,09013,09014,09015,09016,09017,10005,10007,10012,10021,10022,10033,10038,11002,11004,11005,11007,11012,11013,11015,11017,11019,11020,11022,11023,11025,11026,11028,11030,11031,11032,11033,11037,11039,11041,11043,11044,12001,12011,12029,12030,12038,12051,12055,12062,12075,13002,13003,13017,13028,13029,13045,13048,13051,13056,13067,13073,13076,14039,14044,14046,14053,14079,14097,14098,14101,14120,14122,15007,15009,15013,15020,15021,15025,15026,15031,15033,15037,15040,15042,15051,15054,15057,15058,15060,15067,15070,15081,15084,15088,15095,15100,15104,15105,15106,15109,15118,15119,15120,15121,15122,16023,16029,16033,16052,16053,16061,16068,16082,16088,16102,16112,17004,17006,17007,17008,17011,17015,17020,17024,17029,17032,18002,18006,18009,18011,18014,18017,18020,19006,19012,19021,19026,19031,19039,19046,19047,19048,20025,20030,20075,20107,20184,20318,20385,20408,20498,20515,20516,20545,21019,21055,21071,21114,21115,21126,21144,21156,21197,21207,22001,22002,22006,22008,22011,22012,22014,22016,22017,23001,23004,23005,23007,23008,24003,24013,24020,24021,24028,24033,24035,24050,24053,25001,25004,25005,25006,25010,25011,25012,25015,25017,26002,26018,26030,26035,26043,26055,27001,27002,27004,27005,27006,27008,27009,27013,28003,28009,28022,28029,28032,28038,28041,29001,29005,29008,29013,29015,29019,29025,29027,29033,29038,29039,29043,29048,30025,30032,30044,30069,30102,30105,30117,30118,30141,30155,30192,30193,31029,31040,31041,31050,31068,31092,31096,31102,32008,32010,32017,32020,32029,32031,32038,32040,32048,32053}"
h1213b-Complicaciones en el riñón,secuelas_post_covid_2-G,,1,-0.1%:4.4%,"{01001,01002,01005,01009,02001,02002,02004,02006,03001,03002,03003,03008,04001,04002,04003,04004,04009,05002,05017,05018,05020,05025,05030,05035,06001,06002,06005,06007,06009,06010,07005,07015,07019,07044,07046,07051,07061,07076,07078,07099,07101,07107,08011,08013,08019,08037,08050,09002,09003,09004,09005,09006,09007,09008,09009,09010,09011,09012,09013,09014,09015,09016,09017,10005,10007,10012,10021,10022,10033,10038,11002,11004,11005,11007,11012,11013,11015,11017,11019,11020,11022,11023,11025,11026,11028,11030,11031,11032,11033,11037,11039,11041,11043,11044,12001,12011,12029,12030,12038,12051,12055,12062,12075,13002,13003,13017,13028,13029,13045,13048,13051,13056,13067,13073,13076,14039,14044,14046,14053,14079,14097,14098,14101,14120,14122,15007,15009,15013,15020,15021,15025,15026,15031,15033,15037,15040,15042,15051,15054,15057,15058,15060,15067,15070,15081,15084,15088,15095,15100,15104,15105,15106,15109,15118,15119,15120,15121,15122,16023,16029,16033,16052,16053,16061,16068,16082,16088,16102,16112,17004,17006,17007,17008,17011,17015,17020,17024,17029,17032,18002,18006,18009,18011,18014,18017,18020,19006,19012,19021,19026,19031,19039,19046,19047,19048,20025,20030,20075,20107,20184,20318,20385,20408,20498,20515,20516,20545,21019,21055,21071,21114,21115,21126,21144,21156,21197,21207,22001,22002,22006,22008,22011,22012,22014,22016,22017,23001,23004,23005,23007,23008,24003,24013,24020,24021,24028,24033,24035,24050,24053,25001,25004,25005,25006,25010,25011,25012,25015,25017,26002,26018,26030,26035,26043,26055,27001,27002,27004,27005,27006,27008,27009,27013,28003,28009,28022,28029,28032,28038,28041,29001,29005,29008,29013,29015,29019,29025,29027,29033,29038,29039,29043,29048,30025,30032,30044,30069,30102,30105,30117,30118,30141,30155,30192,30193,31029,31040,31041,31050,31068,31092,31096,31102,32008,32010,32017,32020,32029,32031,32038,32040,32048,32053}"
h1213b-Falta de hambre,secuelas_post_covid_2-H,,1,-0.1%:4.4%,"{01001,01002,01005,01009,02001,02002,02004,02006,03001,03002,03003,03008,04001,04002,04003,04004,04009,05002,05017,05018,05020,05025,05030,05035,06001,06002,06005,06007,06009,06010,07005,07015,07019,07044,07046,07051,07061,07076,07078,07099,07101,07107,08011,08013,08019,08037,08050,09002,09003,09004,09005,09006,09007,09008,09009,09010,09011,09012,09013,09014,09015,09016,09017,10005,10007,10012,10021,10022,10033,10038,11002,11004,11005,11007,11012,11013,11015,11017,11019,11020,11022,11023,11025,11026,11028,11030,11031,11032,11033,11037,11039,11041,11043,11044,12001,12011,12029,12030,12038,12051,12055,12062,12075,13002,13003,13017,13028,13029,13045,13048,13051,13056,13067,13073,13076,14039,14044,14046,14053,14079,14097,14098,14101,14120,14122,15007,15009,15013,15020,15021,15025,15026,15031,15033,15037,15040,15042,15051,15054,15057,15058,15060,15067,15070,15081,15084,15088,15095,15100,15104,15105,15106,15109,15118,15119,15120,15121,15122,16023,16029,16033,16052,16053,16061,16068,16082,16088,16102,16112,17004,17006,17007,17008,17011,17015,17020,17024,17029,17032,18002,18006,18009,18011,18014,18017,18020,19006,19012,19021,19026,19031,19039,19046,19047,19048,20025,20030,20075,20107,20184,20318,20385,20408,20498,20515,20516,20545,21019,21055,21071,21114,21115,21126,21144,21156,21197,21207,22001,22002,22006,22008,22011,22012,22014,22016,22017,23001,23004,23005,23007,23008,24003,24013,24020,24021,24028,24033,24035,24050,24053,25001,25004,25005,25006,25010,25011,25012,25015,25017,26002,26018,26030,26035,26043,26055,27001,27002,27004,27005,27006,27008,27009,27013,28003,28009,28022,28029,28032,28038,28041,29001,29005,29008,29013,29015,29019,29025,29027,29033,29038,29039,29043,29048,30025,30032,30044,30069,30102,30105,30117,30118,30141,30155,30192,30193,31029,31040,31041,31050,31068,31092,31096,31102,32008,32010,32017,32020,32029,32031,32038,32040,32048,32053}"
h1213b-Pérdida de peso,secuelas_post_covid_2-I,,1,-0.1%:7.7%,"{01001,01002,01005,01009,02001,02002,02004,02006,03001,03002,03003,03008,04001,04002,04003,04004,04009,05002,05017,05018,05020,05025,05030,05035,06001,06002,06005,06007,06009,06010,07005,07015,07019,07044,07046,07051,07061,07076,07078,07099,07101,07107,08011,08013,08019,08037,08050,09002,09003,09004,09005,09006,09007,09008,09009,09010,09011,09012,09013,09014,09015,09016,09017,10005,10007,10012,10021,10022,10033,10038,11002,11004,11005,11007,11012,11013,11015,11017,11019,11020,11022,11023,11025,11026,11028,11030,11031,11032,11033,11037,11039,11041,11043,11044,12001,12011,12029,12030,12038,12051,12055,12062,12075,13002,13003,13017,13028,13029,13045,13048,13051,13056,13067,13073,13076,14039,14044,14046,14053,14079,14097,14098,14101,14120,14122,15007,15009,15013,15020,15021,15025,15026,15031,15033,15037,15040,15042,15051,15054,15057,15058,15060,15067,15070,15081,15084,15088,15095,15100,15104,15105,15106,15109,15118,15119,15120,15121,15122,16023,16029,16033,16052,16053,16061,16068,16082,16088,16102,16112,17004,17006,17007,17008,17011,17015,17020,17024,17029,17032,18002,18006,18009,18011,18014,18017,18020,19006,19012,19021,19026,19031,19039,19046,19047,19048,20025,20030,20075,20107,20184,20318,20385,20408,20498,20515,20516,20545,21019,21055,21071,21114,21115,21126,21144,21156,21197,21207,22001,22002,22006,22008,22011,22012,22014,22016,22017,23001,23004,23005,23007,23008,24003,24013,24020,24021,24028,24033,24035,24050,24053,25001,25004,25005,25006,25010,25011,25012,25015,25017,26002,26018,26030,26035,26043,26055,27001,27002,27004,27005,27006,27008,27009,27013,28003,28009,28022,28029,28032,28038,28041,29001,29005,29008,29013,29015,29019,29025,29027,29033,29038,29039,29043,29048,30025,30032,30044,30069,30102,30105,30117,30118,30141,30155,30192,30193,31029,31040,31041,31050,31068,31092,31096,31102,32008,32010,32017,32020,32029,32031,32038,32040,32048,32053}"
h1213b-Dolor de cabeza,secuelas_post_covid_2-J,,1,-0.1%:1.0%,"{01001,01002,01005,01009,02001,02004,03001,03002,03008,04001,04002,04003,04009,05002,05017,05018,05020,05025,05035,06001,06002,06005,06007,06009,06010,07005,07015,07019,07044,07046,07051,07076,07078,07099,07101,07107,08011,08013,08019,08037,08050,09002,09003,09004,09005,09006,09007,09009,09010,09011,09012,09013,09014,09015,09016,09017,10005,10007,10012,10022,10033,10038,11002,11004,11005,11007,11012,11013,11015,11017,11019,11020,11022,11023,11025,11026,11028,11030,11031,11032,11033,11037,11039,11041,11043,11044,12001,12011,12029,12030,12038,12051,12055,12062,12075,13002,13003,13017,13028,13029,13048,13051,13067,13076,14039,14053,14079,14097,14098,14101,14120,14122,15007,15009,15013,15020,15021,15025,15026,15031,15033,15040,15042,15051,15054,15057,15060,15067,15070,15084,15088,15095,15100,15104,15105,15106,15109,15118,15119,15120,15121,15122,16023,16029,16033,16052,16061,16068,16082,16088,16102,16112,17004,17006,17007,17008,17011,17015,17020,17024,17029,17032,18002,18006,18009,18011,18014,18017,19006,19012,19021,19026,19031,19039,19046,19047,19048,20025,20030,20075,20107,20184,20318,20385,20408,20498,20515,20516,20545,21019,21055,21071,21114,21126,21156,21197,21207,22001,22002,22008,22012,22016,22017,23001,23004,23005,23007,23008,24003,24013,24020,24021,24028,24033,24035,24050,24053,25001,25004,25005,25010,25011,25012,25015,25017,26002,26018,26030,26035,26043,26055,27004,27005,27006,27008,27009,27013,28003,28009,28022,28029,28032,28038,28041,29001,29005,29008,29013,29025,29027,29038,29039,29043,30025,30032,30044,30069,30102,30105,30117,30118,30141,30155,30192,30193,31029,31040,31041,31050,31068,31092,31096,32008,32010,32017,32020,32029,32031,32038,32040,32048}"
h1213b-Dolor de cabeza,secuelas_post_covid_2-J,,2,1.0%:5.4%,"{02002,02006,03003,04004,05030,07061,09008,10021,13045,13056,13073,14044,14046,15037,15058,15081,16053,18020,21115,21144,22006,22011,22014,25006,27001,27002,29015,29019,29033,29048,31102,32053}"
h1213b-Mareo,secuelas_post_covid_2-K,,1,-0.1%:6.2%,"{01001,01002,01005,01009,02001,02002,02004,02006,03001,03002,03003,03008,04001,04002,04003,04004,04009,05002,05017,05018,05020,05025,05030,05035,06001,06002,06005,06007,06009,06010,07005,07015,07019,07044,07046,07051,07061,07076,07078,07099,07101,07107,08011,08013,08019,08037,08050,09002,09003,09004,09005,09006,09007,09008,09009,09010,09011,09012,09013,09014,09015,09016,09017,10005,10007,10012,10021,10022,10033,10038,11002,11004,11005,11007,11012,11013,11015,11017,11019,11020,11022,11023,11025,11026,11028,11030,11031,11032,11033,11037,11039,11041,11043,11044,12001,12011,12029,12030,12038,12051,12055,12062,12075,13002,13003,13017,13028,13029,13045,13048,13051,13056,13067,13073,13076,14039,14044,14046,14053,14079,14097,14098,14101,14120,14122,15007,15009,15013,15020,15021,15025,15026,15031,15033,15037,15040,15042,15051,15054,15057,15058,15060,15067,15070,15081,15084,15088,15095,15100,15104,15105,15106,15109,15118,15119,15120,15121,15122,16023,16029,16033,16052,16053,16061,16068,16082,16088,16102,16112,17004,17006,17007,17008,17011,17015,17020,17024,17029,17032,18002,18006,18009,18011,18014,18017,18020,19006,19012,19021,19026,19031,19039,19046,19047,19048,20025,20030,20075,20107,20184,20318,20385,20408,20498,20515,20516,20545,21019,21055,21071,21114,21115,21126,21144,21156,21197,21207,22001,22002,22006,22008,22011,22012,22014,22016,22017,23001,23004,23005,23007,23008,24003,24013,24020,24021,24028,24033,24035,24050,24053,25001,25004,25005,25006,25010,25011,25012,25015,25017,26002,26018,26030,26035,26043,26055,27001,27002,27004,27005,27006,27008,27009,27013,28003,28009,28022,28029,28032,28038,28041,29001,29005,29008,29013,29015,29019,29025,29027,29033,29038,29039,29043,29048,30025,30032,30044,30069,30102,30105,30117,30118,30141,30155,30192,30193,31029,31040,31041,31050,31068,31092,31096,31102,32008,32010,32017,32020,32029,32031,32038,32040,32048,32053}"
h1213b-Dolores en músculos o articulaciones,secuelas_post_covid_2-L,,1,-0.1%:0.2%,"{01001,01002,01005,01009,02001,02004,02006,03001,03002,04001,04002,04003,05002,05017,05018,05020,05025,05030,05035,06001,06002,06005,06009,06010,07005,07015,07019,07044,07046,07051,07061,07076,07078,07101,07107,08011,08013,08019,08037,08050,09004,09006,09008,09009,09010,09011,09012,09013,09014,09015,09016,09017,10005,10007,10012,10021,10022,10033,10038,11002,11004,11005,11007,11012,11013,11015,11017,11019,11020,11022,11023,11025,11026,11028,11030,11031,11032,11033,11037,11039,11041,11043,11044,12001,12011,12029,12030,12038,12051,12055,12062,12075,13002,13003,13017,13028,13029,13045,13048,13051,13056,13067,13073,13076,14044,14046,14053,14079,14097,14101,14120,14122,15007,15009,15013,15020,15021,15026,15031,15033,15040,15042,15051,15054,15057,15058,15060,15067,15070,15081,15084,15088,15095,15100,15104,15105,15106,15109,15118,15119,15120,15121,15122,16023,16029,16033,16052,16053,16061,16068,16082,16088,16102,16112,17004,17006,17007,17008,17011,17015,17020,17024,17029,17032,18002,18006,18009,18011,18014,19006,19012,19021,19031,19039,19046,19047,19048,20025,20030,20075,20107,20184,20385,20408,20498,20515,20516,20545,21019,21055,21071,21114,21115,21126,21144,21156,21197,21207,22008,22012,22014,22016,22017,23001,23004,23005,23007,23008,24003,24013,24020,24021,24028,24033,24035,24050,24053,25001,25004,25005,25010,25011,25012,25015,26002,26018,26030,26035,26043,26055,27001,27002,27004,27005,27013,28009,28029,28032,28038,28041,29001,29005,29008,29013,29015,29019,29025,29027,29033,29038,29039,29043,29048,30025,30032,30044,30069,30105,30117,30141,30155,30192,30193,31029,31040,31041,31050,31068,31092,31096,31102,32008,32010,32017,32020,32029,32031,32038,32040,32048,32053}"
